,r_name,r_rating,r_review 
10,Ranit Kumar Dholey,5.0 out of 5 stars,"

  This is going to be a long review, sit back, relax and have a read.I bought the iPhone 12 in May of 2021 after selling my OnePlus.Having used the iPhone7 and XR for years, this was my third iPhone.I have to say the iOS experience on the XR was absolutely horrible. Terrible reception, average battery and mediocre cameras forced me to move to android. I was tempted to move the 12 for all the improvements in modems, screen and the camera.And boy was I surprised . Let’s take up the review in sections.1. Screen: Having used a high refresh rate screen of OP8 before, I was quite sceptical about the 60hz of iPhone12 before I bought it. But, astonishingly, the iPhone12 screen is buttery smooth, courtesy of the high touch sampling rate and excellent animations. This does not feel like a 60hz display, and I cannot stress this enough. The display is EXCELLENT .2. Camera: being a photographer who has spent half of his life travelling, I prioritise a good camera over anything else. And these are surely the most spectacular cameras that I have used on a smartphone. Excellent HDR, great details and very post processing friendly. Of course, the video is as good as it gets on a phone. Attaching some images I shot on the 12 for your reference. Trust me when I say this, you could use this for some semi professional shoot just fine, if it’s only for social media and you are not printing really big.3. Battery: Battery on this device is not spectacular, it’s average. It will get you through the day for sure, unless you are in very long video calls two three times a day. It is good enough, on par with my OnePlus.4. Build Quality: this is where it is head and shoulders above the competition. Rock solid, an led weirdly lightweight, this feels very, very premium.5. Software: iOS 14 and the iOS15 have really pushed the sub par experience of ios11 away, and this software now feels smoother than ever. Great improvements. Excellent software experience, not something I could say with my XR.Summary: Excellent device, with no complains. This could really be one of the first devices that I used which I can call perfect. Highly recommended.

"
11,Dhaval Doshi,5.0 out of 5 stars,"

  Great battery life. Love the white colour. Blue is super hyped. It is a finger print magnet.There’s something about the design of these phones. No android phone can match the aesthetics. Except some curved display screens.Upgraded from iPhone 8. I am very very happy.Wish it was a bit cheaper. Bought with 6k instant hdfc discount and 6 months no cost emi.128gb.

"
12,Amazon Customer,5.0 out of 5 stars,"

  Upgraded for iPhone XR. Battery lasts almost the same as XR but iPhone adapts as per usage over time so it will take time. Which anyways it lasts me for around 1.5 day with normal use and data services and location services always on. Do check the YouTube video to make necessary changes in settings for battery optimisation. Nothing beats the camera performance and let alone the video performance. Phone factor (rectangular edges) feels good to hold however even the MagSafe back cover when put on ruins the fun. Instead try buying a thin screen guard for back of the phone and tempered glass for the front glass as both front and back of the phone seem to be delicate and a costly affair when planning repairs. Overall the performance is great. The backup for Mini is pathetic, buy only if you have very minimal use of the phone. If a telephoto photography doesn’t seem to be on your agenda then this is a smart choice over the pro model.

"
13,Rakeshbhai Gupta,5.0 out of 5 stars,"

  Amazing iPhone, worthy updatehave to buy a type-c supported charging adaptor for charginggood displaydecent battery lifenice night clicksoverall worthy upgrade from classic iPhonebuy apple original 20w adaptor for charging, it fill battery faster than any other adaptor

"
14,palani,1.0 out of 5 stars,"

  My existing iPhone was not exchanged and the reasons too weren't cited. The existing phones were in good condition. I dare Amazon to give me the reasons for not exchanging it if they have one. So don't fall for the exchange pray, appears to be a ploy. My umpteen emails to Amazon customer service on this topic was unanswered and finally upon escalation, the Executive CS team wrote back stating that the reasons for exchange can't be shared as it's an internal communication of theirs. Quite absurd! I quote below the etracts of their email dated 25th Aug 2021... Quote: I've reviewed your concern and see that our customer service team was able to address your issue concerning your exchange being denied. We are unable to provide internal information about the reason for exchanges being denied. Unquote:Now that's a complete surprise to a customer... If my phone doesn't gets exchanged, as customers I need to know the reasons too.. denial by Amazon to give a reason implies here that the exchange options are a gimmick to lure in customers to buy Phones on their online store.. Definitely, never expected Amazon to behave in this manner. Asides, Amazon CS took conveniently more than 2 weeks to respond to my emails and when they have responded the return window too is closed!!! Sad :(

"
15,Praveen Palkhade,1.0 out of 5 stars,"

  Worst camera quality, want my money refund but Apple denied to refund and amazon asking to go Apple service center to have deny later from Apple. If you are planning to buy an iphone then please buy from stores only if you want genuine one. I got a defective product from seller. And After paying my hard earned money iphone says thats not their responsibility third class service centers, don't care customers time.

"
16,Dr Bruce Banner,5.0 out of 5 stars,"

  Buying an iphone was a dream for me . This is my first ios device , The most i liked about this iphone is the inhand feel light weight,compact boxy design helps easy to hold the fone. When i was planned to switch from android to ios most of my frds told that battery life is a minus in iphones, but frankly i tell that the battery life effortlessly lasts for one complete day.Camera, display,sounds are awsome. The main attractive of this device is its permformance, no lag , best optimised software and gaming is simply awesome.

"
17,alam sethi,1.0 out of 5 stars,"

  I received the phone with a crack on its screen which was apparently not visible to a naked eye.But this crack started to increase in size and became more visible after few days when the phone started heating. Now Amazon has taken there hands out of this matter and neither apple is helping me, furthermore they are asking me to get my screen replaced which will cost me ₹26500. So I request everyone to not buy there  phones  from Amazon.

"
18,S Mitra,5.0 out of 5 stars,"

  Likes:ios- efficient and tidy.5G; Jio gives 4G+ currently to 5G mobiles as of 27-Dec-2020.The chassis feels different than rest phones in a good way.OLED display feels good to view.Usual iPhone perks- longer software support.Dislikes:Overpriced as usual, more so this time since not bundled with earphones and charger.Apple charger doesn't come with a lightning cable. Please buy cable separately, if needed.The selfie camera dulls the skin tone. Selfies taken via Androids look better.Here's my 2 cents:I'm using it as a secondary phone with OnePlus 8 as my primary.Please use your discretion.Thanks.

"
19,kunal dhaked,1.0 out of 5 stars,"

  The phone worked fine for 10 days after that the phone started heating and after that the charging was slow and now its 1month and the phone's speaker is not working .. i have given 84000 for this product to your company and i have called ur support system but they have told me to go to apple service center..I have taken the phone today and they have told me that it will take 7 days to fix it .. but my point is that i want a new phone or i want my money back as i m not 1% satisfied with ur product and customer service so plzz dnt put ur company name down and provide me a new phone if the phone dosent satisfy me after the phone is returned to me by the apple service center . Or else i will go to consumer court .. plzz call me as soon as possible and provide me a proper reply and if i dont get any solution that is good to me then i will file an case in the consumer court .

"
20,Sahil Upadhyay,1.0 out of 5 stars,"

  I got this phone on 4th May. And something was wrong with this phone. Also my brother bought the same phone but from a store. And that's working perfectly.Also apple gives 14 day return policy on each apple product but they closed my return window in 6 daysI started facing battery issues after few days. Phone was charging from 0-100% in about half an hour and same with the discharge.It went from 100 to 46% in 15 minutes and sometimes sudden shutdowns. I visited service centres and still my issues have not been resolved.I tried amazon support to help me but nothing happened and still the device is not in well condition and I can't use it.I had already checked that my product is genuine by filling all the details at apple website.But something is wrong either from amazon or apple.I can recommend if you are buying this device buy it a from a genuine store.In order to save 2-3k I made a mistake I guess.

"
21,Mohamed Shafiq K,3.0 out of 5 stars,"

  In this mask era, fingerprint is a must and sadly this phone doesn't have it. Being a doctor, I find it very difficult. Since I don't use it much, battery life is 2 days. Face recognition doesn't work with a mask and specs on. Better buy a Redmi which costs ₹9,000 than this one for ₹75,000 just to show off.

"
22,Benjamin,4.0 out of 5 stars,"

  The product was delivered before the expected date of delivery…. Review will be coming up after few weeks usage and the color is quiet vibrant.

"
23,Naval Kumar,1.0 out of 5 stars,"

  Phone is good and it fits really well in hand. Only problem I have found in iPhone 12 is overheating and this started from the moment I have unboxed it. I have tried to contact Apple and Amazon but no one is agree to help me fix this heating issue or replace it.freezing to death all within 6 months and best part there is no after sales support either by Apple or Amazon.Kind of service I have received from Apple, I think this is my first and last iPhone, second apple product and last.It's better to get it from other platform or get it from store, Amazon does not provide any after sales support for iPhone 12.Overall horrible service from giants organization like, Apple and Amazon.

"
24,mangalik maity,1.0 out of 5 stars,"

  Worst battery. It does not even go for 1 whole day with minimum usage. On idle mode battery will drain out in 1.5 days.

"
25,tarun chitkara,1.0 out of 5 stars,"

  Upgraded to brand new iPhone 12 (128gb) last week and from very first moment could feel the phone getting warmer to hotter from rear side and heat travels from back to side bezels making it even unable to hold the phone during FaceTime or work calls. After calling thrice to Apple official support, the staff was disconcerted and blamed it upon ‘normal behaviour’ of phone. However Amazon was kind enough to understand the issue and provided support to me. I recommend Amazon customer service.

"
26,Chronos,3.0 out of 5 stars,"

  It’s such a disappointment. I have been using iPhone since it’s first version.So naturally upgraded from iPhone X to 12. But the excitement quickly died down as soon as I saw the screen. There is a warm greenish tint to it which makes the colors off.Selfie portraits aren’t good either. Too sharp for portraits. May be I should have gone for the 12 Pro Max as it handles much better because of the telephoto lens.Hope apple fixes the screen issues soon

"
27,Raj,3.0 out of 5 stars,"

  This phone is little bit expensive and the baddest thing there is no charging adapter on box, apple charging this much money for this phone without giving important accessories like charging adapter, 😡

"
28,Riddhi,1.0 out of 5 stars,"

  The product was getting overheated too soon while using apple apps like iMovie.Also got heated while chargingIf I have to buy an 80k phone and just make calls and messages... doesn't make sense..And Amazon would not replace it just like that they need a letter from Apple stating ""Service Denial"" so shuttling between Amazon and Apple after 2 days of purchase.

"
29,Rashmi,4.0 out of 5 stars,"

  Do not buy.. there is colour chipping issue around camera. And it is not happening with me only.. so many complaints are there for this but apple is not bothered about it. They are not replacing product (its only 8 month I am using it) such cheap quality was not expected from apple. Disappointed!!!!

"
30,Arnab,5.0 out of 5 stars,"

  The hardware- cameras, spatial audio system, built and chip- are really really good. Better than any other high end phone in the market.The iOS software is really awesome! With features like shortcuts, siri among others- this phone is the smartest smart phone in the market. It just does things for you in the background to give you the unique user experience that android has not been able to give so far. I switched from an android phone (OnePlus) to this and it has been a very refreshing and wonderful change.

"
31,Ayushi Abhipsa,5.0 out of 5 stars,"

  Guys let me tell you, I was a huge fan of androids and I literally never thought of buying an iphone, but then thought of giving it a try🥺🥺🥺and you couldn’t believe how much i mean to what extent i like this phone. This is a perfect phone ever with awesome battery life (I use it very much still one and half day chal jata he) speed is mind blowing and camera just wowwww!!! No need of buying fancy iphone 12 pro max this is more than enough yaar😍😍You will never ever regret buying thisReviewing after a use of 2 months

"
32,Lav,4.0 out of 5 stars,"

  I used to use an Android phone till 2014 and wanted to switch to iOS, so the same year I bought iPhone 6, It was good to have an iOS device and the performance and the cameras but those were sufficient only until next year when 6s launched. Though I was a fan of the iPhone 5 and 5s box design but couldn't buy them somehow. I wasn't and I'm not crazy about changing or upgrading phone every year so in 2015 I bought again iPhone 6s by having a thought that this phone has everything which I needed ever, except for box design. Now I was satisfied enough with this.As time goes on and years passed away many iPhone models came but I wasn't eager to buy any of them but when this year series 12 launched, that made me excited to buy because firstly I was technologically behind and secondly the nostalgic box design.Years ago, when I switched to iOS, I'm quite satisfied with it, I never thought and want to go back to Android.When it comes to iPhone 12, it's a great and beautiful device. Smooth performance, good battery life, overpriced of course but people always have the choice to buy it or not. Though face ID is new to me and initially little inconvenient compared to touch ID, hopefully, I'm gonna used to of it.I bought a 128 GB device as per my requirement and colour white because finger prints on back are not visible, compared to other darker colours.INR 3000₹ Discount on the colour white, plus 6000₹ HDFC instant discount. Effective price 76000₹. Unfortunately Charging Brick isn't included and it coasted 1900₹ more for 20W USB-C from Apple India website.Overall it's a great device and satisfied purchase but overpriced for sure.

"
33,vishnu,1.0 out of 5 stars,"

  I bought this iPhone 12 128 GB after  3 days slowly letter b stoped working on keyboard I thought it was software glitch as sometime updateing software would solve the issue as we are in a pandamic situation I moved to my village where there little reception so update took 2 to 3 days to download. But even after updating there was no improvement so called apple support spoke to then at length about my situation and after hearing me they did some troubleshooting and came to a conclusion that it has some hardware problem and should approach Amazon as they were responsible for selling me this product for replacement.  by this time 7 days completed and according to the Amazon policy they only return and replace for 7 days.  When spoke to Amazon customer care they just wouldn't connect me to the concern department they just bluntly say I should approach apple but apple executive tells me he can't do anything. Is this how you treat a loyal customer you can check my account the and frequency I order trough Amazon. Not even connecting call to the concern department.

"
34,Junaid Masoodi,5.0 out of 5 stars,"

  Overall it looks good, coming from XR it looks a good upgrade for me. Design is ‘back to basics’ which is compelling. I loved the fast response among other things.

"
35,Amesh Gharat,4.0 out of 5 stars,"

  Overall good phone as it feels very premium, being made with high quality materials and has great performance. Excellent camera quality, great design and screen quality. The A14 processor is super fast and the phone never heats up even while performing intensive tasks. The speakers are very loud and clear and give out high quality sound.One problem I encountered is that  the battery life is not great but definitely above average. Another issue is the notch which makes the phone look outdated especially in 2021. The Face ID is also not useful while wearing masks which causes a lot of inconvenience since the phone doesn’t have a fingerprint scanner. The phone is also limited to a 60Hz refresh rate which again makes it less compelling than the competition which makes phones with 120Hz refresh rate at a much lower price.

"
36,Jamadagni,5.0 out of 5 stars,"

  Upgraded from an iPhone 7 32 gigs to iPhone 12 . After holding out for a long time the upgrade was worth it. All the feature set display, camera, speakers, signal reception, chipset is a huge upgrade. Recommended if you happen to have a device from 2016 or older. This device will be the new standard iPhone for the next 4 years. So worth it if you get it now.

"
37,s3r,4.0 out of 5 stars,"

  No wonder Apple makes some of the best phones in the world. Iphone 12 deservedly is the highest selling phone.I was upgrading from iphone 7 which served me well for 4 years, which I exchanged for this.The delivery & exchange formalities were smooth.The phone itself is surely an upgrade when compared to 7, the display is top notch, the camera is probably the best there is, the face unlock works like a charm, what's to say about the best phone, it works even better than advertised.The only problem like always is the battery which hardly lasts a day & charging time is also an issue, it tends to heat up a little while charging but with the previous experience with iphone 7, the longevity of the phone is guaranteed with the timely updates from Apple, the premium which an iphone demands stands justified with a superior product.Some people tried to discourage me from buying an iphone from Amazon claiming warranty & support issues. But there's no substance to such things. I confirmed the warranty & product registration from Apple, it's as advertised.Since most of us are going to use it for a longer period of time, it's prudent to opt for the extended warranty offered by Apple which costs around 16500 which gives us an extended year of warranty. Do remember to do this within 3 months of your purchase.

"
38,akash kumar,5.0 out of 5 stars,"

  Now it's almost more than 2 weeks of usage and I'm fully satisfied with the performance. Earlier I was using oneplus 6T and after malfunction of the screen, i decided to move to Iphone. Before buying i had done all the R&D. Many of reviews says that it has bad battery life and couldn't stand a day. But as per my usages my battery stays all day long. I used to make call (6 to 7 hours), video, music, surfing everything except game and battery last upto 24 hours with data mode on.In my opinion its worth buying.

"
39,ABHISHEK VERMA,2.0 out of 5 stars,"

  Product delivered on 3 Jan, today is 6th Jan 2022 time 12:08 am. Problem with the product that got delivered to me is it's front camera hangs a lot, there's no newness of the product which made me feel like I have been decived with refurbished phone. ( Though I am not sure but as I said there is no newness also battery backup was real poor, I still remember when I bought one plus 5T it's battery lasted for atleast 2-3 days without any recharging but this product that delivered to me either it is not authentic or I have received defective one. Obviously seller won't return the item so u have to visit store to sort out your problems with phone. I hate it.

"
40,Kalp,5.0 out of 5 stars,"

  Amazing product and very nice quality.I usually never order electronics online, i always buy it from a physical store. This time i checked everywhere for 256gb iphone 12 but it was out of stock and i had no option but to buy it online.I was a bit worried about the fraud and fake products but when i opened the package I realised that this cannot be fake.

"
41,Milandeep singh,5.0 out of 5 stars,"




                    The media could not be loaded.
                




   Changed from iPhone X, Got the new blue colour, something unique from apple. Great battery backup and the edges now look too premium. Overall, such a great buy 🤩

"
42,GG,5.0 out of 5 stars,"

  Premium looks, smooth user interface, outstanding camera quality, top class screen, great sound quality from stereo speakers. Instant face detection and unlocking. No finger print sensor (not required as face detection does the job instantly). No 3.5 mm port for headphones, requires airpods or bluetooth headset. Excellent noise cancellation. Double sim (nano+esim). Easy to switch from Android with inbuilt feature to transfer all the data.

"
43,Bhaskara Krishnan J,5.0 out of 5 stars,"

  This is the fastest iphone I have seen so far. True Value for money. Compared it with several other phones and observed that iphone12 is significantly faster than all the phones.Phone build quality is excellent. It supports fast charging capability which is very good. Using a 20W USB-C adaptor I am able to charge it from 20% to 100% within 1 hour.Battery life is also good compared to previous iphones.

"
44,Soyeb Ahmed,3.0 out of 5 stars,"

  Writing this review after nine months of using. Overall user interface is very good, picture quality is very good, battery life is somewhere average. I have faced discolouration issue in nine months without any fall or anything and apple service centre denied any service for this issue. Being a premium phone, this visual issue shall not occur so easily. Disappointed that such a costly phone doesn’t cover this in warranty and what kind of painting they do that peels off so easily.

"
45,sathavahana,3.0 out of 5 stars,"

  Good product, bringing back the old 5s style advantage.But, Moved from pixel3 to iphone12.I felt pixel is better than iphone 12, only best part of iphone12 is iosExpected more from BatteryCamera is good, build quality is great

"
46,pritish panda,5.0 out of 5 stars,"

  This is my 1st iphone and I loved it. I m not the one who is biased for iphone. But I personally loved it. Camera,Battery, sound everything is perfect. Do not set high expectations from battery, It is like u charged it in morning and use it whole day.Concern-: Data transfer is a big problem. If u want to transfer data to android mobile then watsapp is the only option. Till now I have not found any application yet which will help to transfer data smoothly.

"
47,Mahabala,5.0 out of 5 stars,"

  Very good product. I was using 6S plus till now. After using for one and half month, it’s so impressive and battery is the best. It comes whole day. Very fast and smooth. Nice design.

"
48,vishal malik,1.0 out of 5 stars,"

  After using for a month in lockdown all apple stores closed. My phone keeps on restarting ilon its own. The phone hangs and swtiches off for few seconds and then restarts. Happens everyday multiple times.

"
49,Mahesh Yadav,5.0 out of 5 stars,"

  This iPhone is amazingly good and camera is awesome. I will update about battery after few days of usage.

"
50,Krishna Poojary,5.0 out of 5 stars,"

  Back to the same design of iPhone 4/5. Phone feels great to hold and use. Very snappy and good battery life. Records video in HDR which looks really good on the oled screen of the phone.

"
51,Arijit,5.0 out of 5 stars,"

  Great upgrade over iPhone 11.Better camera better screen and far better ergonomics.Amazing price offered on Amazon unmatched by any other seller.Great buy!

"
52,Shoma,1.0 out of 5 stars,"

  The ringer volume is extremely low. So I would really appreciate it if the phone is replaced.

"
53,Amazon Customer,5.0 out of 5 stars,"

  Loving it! But cant seem to get over my 5 yo 6S which still in fabulous condition except for the battery life.Iphone12: Amazing look & feel, yet to explore the finer aspects.Super quick delivery, ordered @ night, got early mrng delivery day.

"
54,Kuldip,5.0 out of 5 stars,"

  As all knows iphone nothing comes in comparison. The UI is so smooth. My first ios device. Every app feels so smooth and fast. Delivery was very late by Amazon.Its a superphone. Use it and know it yourself!

"
55,Sm Belal,5.0 out of 5 stars,"




                    The media could not be loaded.
                




   I don’t have any words to describe of this Phone camera, Performance model Design everything is mind blowing I am so glad after bought this Phone you should purchase this 😇

"
56,Swarali,5.0 out of 5 stars,"




                    The media could not be loaded.
                




   Another Amazing phone from Apple.Better performance, nice battery, amazing camera.Just one concern, apple should have given adopter too.

"
57,Ronaldo,5.0 out of 5 stars,"

  Great smartphone. but funny thing is that it doesn’t support airtel in my phone. Maybe they need a software update or should look into this issue.

"
58,Amazon Customer,1.0 out of 5 stars,"

  Cable got burnt while charging. Very dissapointed with apple. Never expected such product issue.

"
59,Amazon Customer,1.0 out of 5 stars,"

  Those who want to exchange there old phone s , for their information they will deny exchange for trivial reasons and ask money in lieu of

"
60,Ananthakrishnan N.,5.0 out of 5 stars,"

  Great device. Amazing Cameras. Battery is good for a day. I don’t play games so I’m not sure about it.

"
61,Tenzin,5.0 out of 5 stars,"

  I love my iPhone 12Battery superb it will last for whole dayScreen Oled rocksUpgrading from 7 n it’s worth waiting.It will be better If Mrp is little lower 😉 like 70,000

"
62,Y T,5.0 out of 5 stars,"

  Nice. Recommended. Go ahead and buy.Prons- 90 Hz refreshing rate is missing. No audio call recording and only 3 days call history

"
63,Bhagyashree Arakeri,5.0 out of 5 stars,"

  Product is so far good! If you are old iPhone user then it’s not much difference.But the packaging is too bad, charger box was crushed which was kept along with iPhone box. Paying this much money and they are not providing good packaging for fragile items!

"
64,joy chauhan,5.0 out of 5 stars,"

  Great iPhone, would have preferred it with at least 10k less but it’s iPhone what can you do? They will ask for premium price for their products but at least they provide you fantastic software support for long time

"
65,Varun Chaudhary,5.0 out of 5 stars,"

  Good phone, but I still like Android.

"
66,Revathi Muddineni,4.0 out of 5 stars,"

  Overall it’s good. But I have chosen the green color it is not that much expected as shown in the picture. It’s very light green which is nearly equivalent to white. Other than color everything is fine. Thankyou Amazon for such a speedy delivery!

"
67,Rohan Kotecha,5.0 out of 5 stars,"

  As usual, apple products are upto the mark. Extremely efficient delivery by Amazon...keeo it up guys

"
68,Yogesh,5.0 out of 5 stars,"

  Good Cell PhoneWorks very wellSmooth excellent WorkingExcellent CameraExcellent face recognitionLight weightBattery is ok okDelivered on time

"
69,Amazon Customer,5.0 out of 5 stars,"

  Compact phone with great display,good battery life,fast charging,good camera.Overall paisa wasool phone

"
70,Ankur Kapoor,5.0 out of 5 stars,"

  I love my iphone 12 so very much. Excellent display, battery life and camera and a14 processor chip is outstanding. Only one demerit and that is the cost of the phone. It's very expensive. Cheers...

"
71,Supratim,5.0 out of 5 stars,"

  Nothing much to say about an iPhone 12. Its brilliant and my all-time favorite.

"
72,sananda saha,3.0 out of 5 stars,"

  I am using oneplus 7 pro , bought this as secondary ph... camera is just pathetic... not worthy. Got a scratchy product which hanged too had to replace  still not happy. Oneplus is just the best. Period.

"
73,iXist,5.0 out of 5 stars,"

  Impeccable phone from apple, upgraded from iPhone 7. Battery could have been a little longer though

"
74,Ashok K Alexander,5.0 out of 5 stars,"

  After three months, the phone is performing well. There have been no problems. All the features are working well.

"
