,Review,Rating,polarity,sentiments,word_count
16,  really happy with the purchase but  x zoom missing does make a little difference performance display camera and battery are on point and that what matters the most to me i was planning on buying the pro model but this year it was insanely expensive so bought this and saved some money for decent accessories the value for money is great for the  gb version,5,0.19702380952380955,1,65
17,  the overall feel of the iphone is very good the weight of the phone is light  comfortable  size too for daily use the screen colours  image quality is unmatched the colors on camera  photo are natural fingerprint reading  facial recognition is superb  very quick  highly accurate,5,0.3643333333333333,1,46
18,  worst camera and graphics if you compare pubg in oneplus mobiles and this phone this phones graphics was worst like oppo phone graphics and coming camera compare to this phone oppo is better phone than this if apple continue like this this oneplus will lead the market,1,-0.5,0,47
19,  the product you delivered actually not value for money dent products which i cant identify were apple authorized persondetected and found dent and they denied my service under warranty very bad product delivered and after service also not satisfying look like refurbished product delivered to me will go for consumer court to satisfy the complaint,1,-0.36499999999999994,0,55
20,  this is going to be a long review sit back relax and have a readi bought the iphone   in may of   after selling my oneplushaving used the iphone  and xr for years this was my third iphonei have to say the ios experience on the xr was absolutely horrible terrible reception average battery and mediocre cameras forced me to move to android i was tempted to move the   for all the improvements in modems screen and the cameraand boy was i surprised  lets take up the review in sections  screen having used a high refresh rate screen of op  before i was quite sceptical about the  hz of iphone  before i bought it but astonishingly the iphone  screen is buttery smooth courtesy of the high touch sampling rate and excellent animations this does not feel like a  hz display and i cannot stress this enough the display is excellent   camera being a photographer who has spent half of his life travelling i prioritise a good camera over anything else and these are surely the most spectacular cameras that i have used on a smartphone excellent hdr great details and very post processing friendly of course the video is as good as it gets on a phone attaching some images i shot on the   for your reference trust me when i say this you could use this for some semi professional shoot just fine if its only for social media and you are not printing really big  battery battery on this device is not spectacular its average it will get you through the day for sure unless you are in very long video calls two three times a day it is good enough on par with my oneplus  build quality this is where it is head and shoulders above the competition rock solid an led weirdly lightweight this feels very very premium  software ios   and the ios  have really pushed the sub par experience of ios  away and this software now feels smoother than ever great improvements excellent software experience not something i could say with my xrsummary excellent device with no complains this could really be one of the first devices that i used which i can call perfect highly recommended,5,0.22066666666666662,1,371
21,  bought an iphone   during ongoing freedom sale and i received a defective piece as the phone has tiny dents around the charging port i tried returning it but theres no option to replace or return  dont know what to do stuck with it after spending   k,1,0.0,1,46
22,  great battery life love the white colour blue is super hyped it is a finger print magnettheres something about the design of these phones no android phone can match the aesthetics except some curved display screensupgraded from iphone   i am very very happywish it was a bit cheaper bought with  k instant hdfc discount and   months no cost ,5,0.2704761904761905,1,58
23,  upgraded for iphone xr battery lasts almost the same as xr but iphone adapts as per usage over time so it will take time which anyways it lasts me for around   day with normal use and data services and location services always on do check the youtube video to make necessary changes in settings for battery optimisation nothing beats the camera performance and let alone the video performance phone factor rectangular edges feels good to hold however even the magsafe back cover when put on ruins the fun instead try buying a thin screen guard for back of the phone and tempered glass for the front glass as both front and back of the phone seem to be delicate and a costly affair when planning repairs overall the performance is great the backup for mini is pathetic buy only if you have very minimal use of the phone if a telephoto photography doesnt seem to be on your agenda then this is a smart choice over the pro model,5,0.010840336134453786,1,169
24,  worst camera quality want my money refund but apple denied to refund and amazon asking to go apple service center to have deny later from apple if you are planning to buy an iphone then please buy from stores only if you want genuine one i got a defective product from seller and after paying my hard earned money iphone says thats not their responsibility third class service centers dont care customers time,1,-0.14166666666666666,0,73
25,  amazing iphone worthy updatehave to buy a typec supported charging adaptor for charginggood displaydecent battery lifenice night clicksoverall worthy upgrade from classic iphonebuy apple original  w adaptor for charging it fill battery faster than any other adaptor,5,0.28055555555555556,1,37
26,  i received the phone with a crack on its screen which was apparently not visible to a naked eyebut this crack started to increase in size and became more visible after few days when the phone started heating now amazon has taken there hands out of this matter and neither apple is helping me furthermore they are asking me to get my screen replaced which will cost me ₹  so i request everyone to not buy there  phones  from amazon,1,0.06874999999999999,1,80
27,  my existing iphone was not exchanged and the reasons too werent cited the existing phones were in good condition i dare amazon to give me the reasons for not exchanging it if they have one so dont fall for the exchange pray appears to be a ploy my umpteen emails to amazon customer service on this topic was unanswered and finally upon escalation the executive cs team wrote back stating that the reasons for exchange cant be shared as its an internal communication of theirs quite absurd i quote below the etracts of their email dated  th aug   quote ive reviewed your concern and see that our customer service team was able to address your issue concerning your exchange being denied we are unable to provide internal information about the reason for exchanges being denied unquotenow thats a complete surprise to a customer if my phone doesnt gets exchanged as customers i need to know the reasons too denial by amazon to give a reason implies here that the exchange options are a gimmick to lure in customers to buy phones on their online store definitely never expected amazon to behave in this manner asides amazon cs took conveniently more than   weeks to respond to my emails and when they have responded the return window too is closed sad ,1,0.010714285714285716,1,219
28,  buying an iphone was a dream for me  this is my first ios device  the most i liked about this iphone is the inhand feel light weightcompact boxy design helps easy to hold the fone when i was planned to switch from android to ios most of my frds told that battery life is a minus in iphones but frankly i tell that the battery life effortlessly lasts for one complete daycamera displaysounds are awsome the main attractive of this device is its permformance no lag  best optimised software and gaming is simply awesome,5,0.4708333333333334,1,94
29,  likesios efficient and tidy g jio gives  g currently to  g mobiles as of  dec the chassis feels different than rest phones in a good wayoled display feels good to viewusual iphone perks longer software supportdislikesoverpriced as usual more so this time since not bundled with earphones and chargerapple charger doesnt come with a lightning cable please buy cable separately if neededthe selfie camera dulls the skin tone selfies taken via androids look betterheres my   centsim using it as a secondary phone with oneplus   as my primaryplease use your discretionthanks,5,0.20555555555555555,1,90
30,  the phone worked fine for   days after that the phone started heating and after that the charging was slow and now its  month and the phones speaker is not working  i have given   for this product to your company and i have called ur support system but they have told me to go to apple service centeri have taken the phone today and they have told me that it will take   days to fix it  but my point is that i want a new phone or i want my money back as i m not   satisfied with ur product and customer service so plzz dnt put ur company name down and provide me a new phone if the phone dosent satisfy me after the phone is returned to me by the apple service center  or else i will go to consumer court  plzz call me as soon as possible and provide me a proper reply and if i dont get any solution that is good to me then i will file an case in the consumer court ,1,0.05307621671258034,1,177
31,  product delivered on   jan today is  th jan   time   am problem with the product that got delivered to me is its front camera hangs a lot theres no newness of the product which made me feel like i have been decived with refurbished phone  though i am not sure but as i said there is no newness also battery backup was real poor i still remember when i bought one plus  t its battery lasted for atleast   days without any recharging but this product that delivered to me either it is not authentic or i have received defective one obviously seller wont return the item so u have to visit store to sort out your problems with phone i hate it,2,-0.38,0,121
32,  i got this phone on  th may and something was wrong with this phone also my brother bought the same phone but from a store and thats working perfectlyalso apple gives   day return policy on each apple product but they closed my return window in   daysi started facing battery issues after few days phone was charging from   in about half an hour and same with the dischargeit went from   to   in   minutes and sometimes sudden shutdowns i visited service centres and still my issues have not been resolvedi tried amazon support to help me but nothing happened and still the device is not in well condition and i cant use iti had already checked that my product is genuine by filling all the details at apple websitebut something is wrong either from amazon or applei can recommend if you are buying this device buy it a from a genuine storein order to save  k i made a mistake i guess,1,-0.06666666666666667,0,160
34,  the product was delivered before the expected date of delivery review will be coming up after few weeks usage and the color is quiet vibrant,4,-0.03333333333333335,0,25
35,  phone is good and it fits really well in hand only problem i have found in iphone   is overheating and this started from the moment i have unboxed it i have tried to contact apple and amazon but no one is agree to help me fix this heating issue or replace itfreezing to death all within   months and best part there is no after sales support either by apple or amazonkind of service i have received from apple i think this is my first and last iphone second apple product and lastits better to get it from other platform or get it from store amazon does not provide any after sales support for iphone  overall horrible service from giants organization like apple and amazon,1,0.13863636363636364,1,124
36,  worst battery it does not even go for   whole day with minimum usage on idle mode battery will drain out in   days,1,-0.4,0,22
37,  upgraded to brand new iphone    gb last week and from very first moment could feel the phone getting warmer to hotter from rear side and heat travels from back to side bezels making it even unable to hold the phone during facetime or work calls after calling thrice to apple official support the staff was disconcerted and blamed it upon normal behaviour of phone however amazon was kind enough to understand the issue and provided support to me i recommend amazon customer service,1,0.08892045454545454,1,83
38,  i bought this iphone     gb after    days slowly letter b stoped working on keyboard i thought it was software glitch as sometime updateing software would solve the issue as we are in a pandamic situation i moved to my village where there little reception so update took   to   days to download but even after updating there was no improvement so called apple support spoke to then at length about my situation and after hearing me they did some troubleshooting and came to a conclusion that it has some hardware problem and should approach amazon as they were responsible for selling me this product for replacement  by this time   days completed and according to the amazon policy they only return and replace for   days  when spoke to amazon customer care they just wouldnt connect me to the concern department they just bluntly say i should approach apple but apple executive tells me he cant do anything is this how you treat a loyal customer you can check my account the and frequency i order trough amazon not even connecting call to the concern department,1,0.009166666666666656,1,183
41,  the product was getting overheated too soon while using apple apps like imoviealso got heated while chargingif i have to buy an  k phone and just make calls and messages doesnt make senseand amazon would not replace it just like that they need a letter from apple stating service denial so shuttling between amazon and apple after   days of purchase,1,0.0,1,60
42,  do not buy there is colour chipping issue around camera and it is not happening with me only so many complaints are there for this but apple is not bothered about it they are not replacing product its only   month i am using it such cheap quality was not expected from apple disappointed,4,0.02857142857142858,1,53
43,  guys let me tell you i was a huge fan of androids and i literally never thought of buying an iphone but then thought of giving it a try🥺🥺🥺and you couldnt believe how much i mean to what extent i like this phone this is a perfect phone ever with awesome battery life i use it very much still one and half day chal jata he speed is mind blowing and camera just wowwww no need of buying fancy iphone   pro max this is more than enough yaar😍😍you will never ever regret buying thisreviewing after a use of   months,5,0.3351041666666667,1,99
44,  i used to use an android phone till   and wanted to switch to ios so the same year i bought iphone   it was good to have an ios device and the performance and the cameras but those were sufficient only until next year when  s launched though i was a fan of the iphone   and  s box design but couldnt buy them somehow i wasnt and im not crazy about changing or upgrading phone every year so in   i bought again iphone  s by having a thought that this phone has everything which i needed ever except for box design now i was satisfied enough with thisas time goes on and years passed away many iphone models came but i wasnt eager to buy any of them but when this year series   launched that made me excited to buy because firstly i was technologically behind and secondly the nostalgic box designyears ago when i switched to ios im quite satisfied with it i never thought and want to go back to androidwhen it comes to iphone   its a great and beautiful device smooth performance good battery life overpriced of course but people always have the choice to buy it or not though face id is new to me and initially little inconvenient compared to touch id hopefully im gonna used to of iti bought a   gb device as per my requirement and colour white because finger prints on back are not visible compared to other darker coloursinr  ₹ discount on the colour white plus  ₹ hdfc instant discount effective price  ₹ unfortunately charging brick isnt included and it coasted  ₹ more for  w usbc from apple india websiteoverall its a great device and satisfied purchase but overpriced for sure,4,0.19996556473829202,1,289
45,  the hardware cameras spatial audio system built and chip are really really good better than any other high end phone in the marketthe ios software is really awesome with features like shortcuts siri among others this phone is the smartest smart phone in the market it just does things for you in the background to give you the unique user experience that android has not been able to give so far i switched from an android phone oneplus to this and it has been a very refreshing and wonderful change,5,0.4612987012987013,1,90
46,  overall it looks good coming from xr it looks a good upgrade for me design is back to basics which is compelling i loved the fast response among other things,5,0.309375,1,30
47,  overall good phone as it feels very premium being made with high quality materials and has great performance excellent camera quality great design and screen quality the a  processor is super fast and the phone never heats up even while performing intensive tasks the speakers are very loud and clear and give out high quality soundone problem i encountered is that  the battery life is not great but definitely above average another issue is the notch which makes the phone look outdated especially in   the face id is also not useful while wearing masks which causes a lot of inconvenience since the phone doesnt have a fingerprint scanner the phone is also limited to a  hz refresh rate which again makes it less compelling than the competition which makes phones with  hz refresh rate at a much lower price,4,0.1702380952380952,1,139
48,"                    the media could not be loaded
                




   best beti listen all reviews of this segmant all  giant killers of samsung oneplus mii   x pro etcperfomance security   safety excellent   having same  processor etc of   pro  camera not badi am choosing good compatible cell phone not camerasize and wait well balanced kudos",5,0.54,1,49
49,  upgraded from an iphone     gigs to iphone    after holding out for a long time the upgrade was worth it all the feature set display camera speakers signal reception chipset is a huge upgrade recommended if you happen to have a device from   or older this device will be the new standard iphone for the next   years so worth it if you get it now,5,0.1566287878787879,1,64
50,  yes it is a   star phone but if you are moving from android to iphone please be ready to lose your freedom there is a lot available on internet to tell you about what you will lose out on it is like speaking a new language altogetherquick image editing video editing simple things like making collages setting custom ringtones quick editing of alarms changing wifi or bluetooth toggling location many more basic features are either absent in ios or managed in a very cumbersome way you will miss them if moving from andriod also be ready to lose your whatsapp chat history not impressed by the sound reproduction on bigger speakers via bluetooth and the very inflexible equilizerfor some silly reasons apple is being stubborn on some aspects like standardisation of charging cable even within its own products the notch at the top of the screen is still the same size it was in  rest there are tons of reviews to praise the phone and i agree with most of themwas a bit disappointed the way it was packaged no foam or bubble wrap,4,0.1099848484848485,1,184
51,  completely satisfied with the performance  camera and battery life but display totally disappointed me there is an extra yellow tint for the display and colors are off i am a photographer and colour grading artist so accurate color reproduction is of almost importance to me please reconsider your decision if you are in similar profession,4,0.025000000000000012,1,55
52,  what i am feeling is there is some difference buying products on amazon and stores directly i have compared with my friends battery life has huge change she gets a day and mine ends within   hours,4,0.25000000000000006,1,36
53,  cons overpriced phone which should be around  k no adapter ugly layout at the side of screen iphone xs max which i have has better layout,4,-0.09999999999999998,0,26
55,  i was an avid android user for past   years this move to iphone   was a calculative yet bolder definitive movelets look at the some of key pointers here what i saw  stunning design and spectacular oled display pouring out all the vivid colors smooth app flow and transitions longer battery life   hrs without automation best in my usage  camera is just bringing the life out of all the captures you makei am using apple  w charger which is insane at charging   percent in   mins so in   mins you are having half the battery up love the border outlay of this beauty its almost a month of usage and i can boldly say the best switch one can make i know the price tag is always hefty but then you are choosing a long term reliability kudos to apple inc and amazon for amazing delivery in   daysplease avoid playing apple arcade games as they would drain you battery like anything in my best guess it is not rightly optimised for itwhat i come to see is why apple looked for environmental protection by removing charger and earphones i guess it should come at a reasonable price then it really put me off but then you know what the market player is serving,5,0.26835839598997496,1,211
56,  this is my first iphone purchase  coming from oneplus   i dont have any regrets about the switch yes the switch was painful especially because i lost all my whatsapp chats but is worth it comparing to oneplus   this phone has all features from it but in better form my op  was smooth fast had good battery camerabattery and  haptics iphone is just way smootherfast and have great camerabattery and haptics there is a slight learning curve took   days to get used to gestures and navigations but is smooth sailing the only negative feedback would be no charger in the box you will have to get from applecom if you want fast  w one,5,0.1655555555555556,1,113
57,  facing less life problem in battery need to replace itvery poor service pick up scheduled today   however delivery boy not picked up the phone inspite of coming at our company very poor service from amazon we are very disappointed,2,-0.5154166666666666,0,39
58,  i keep hearing crackling sound when on calls there is no voice clarity and it takes like   mins to connect to call my cheaper android phone is so smooth in call quality and connects instantly both the phones have same network carriercan i get this phone replaced or get refunded,1,0.2,1,50
59,"                    the media could not be loaded
                




   phone is awesome no doubt camera also as expected smooth phonebut there is no adaptor charger iphone provide only data cable people spend  k and then again spend for  k for charger that is very inappropriate this is not good people will not buy if this will continue providing not charger whats the meaning of phone people buy phone and dont have charger to charge the phone first experience is mine for iphone is very bad because of charger because new c type adaptor is not getting everywhere how people will charge his phone   is a big amount so thing about it and provide full sets of charger",4,0.0887603305785124,1,114
60,"                    the media could not be loaded
                




   this is my first iphone and the phone is really awesome as i have seen in lots of reviews i am already aware with ios since i have ipad i have pocof  which i bought in   and after spending   years with android i made up my mind to move to ios the packaging was well and i recieved the phone in   day",5,0.5,1,68
61,  upgraded from an xr key points a way more lighterb better screen resolutionc slightly better performance not noticeable to the regular user thoughd better camera and pictureswhat couldve been better a battery life  oled doesnt make too much of a difference to battery life im getting the same one and a half days on itb outer shell  the body is a fingerprint magnetc charging  wireless charging is slower wired charging with a proper adapter is fasterto sum it up if youre already a part of the beautiful apple ecosystem or if youre thinking of being a part of it this is a great phone to pick up go for it,5,0.3217948717948718,1,110
62,  those who already use iphone no need of explanationcoming to specific model iphone   most of the features are same as iphone   pro like      inch super retina xdr display  oled display with  x pixel resolution at   ppi   a  bionic chip  nextgeneration neural engine   dual  mp camera system ultra wide and wide    g ceramic shield front compatible with magsafe true tone haptic touch those who are not bothered about lidar telephoto mode apple proraw stainless steel frame and wants to save around  k bucks should go with iphone   if those things matter you most then go for iphone   pro with additional  k bucksby the way aerospacegrade aluminum frame in iphone   looks stunning i am very much happy with iphone ,5,0.2652777777777778,1,117
63,  i have been using iphone   from past  days overall a great phone with best battery life best camera and great display the most important thing about this phone is the performance its top notch a  bionic chip which is  mm soc with  g modem delivers a greater performance without any lag with few latest ios updates  and few changes in configurationsettings i get a battery life for   days per charge  overall a beast in all segments including the pricefor the price apple should have provided a charging brick and earphones but they have not currently amazon is selling this phone for  k which is the best deal go for it,5,0.396875,1,110
64,  well they are a multinational conglomerate and i have simply purchased a product of theirs so i shouldnt be commenting on their product launching strategy however keeping this aside i would try to genuinely help those looking for reviews before buying in a few simple steps  go for it if you are going for an upgrade after    years as it will give you some flawless experience again  battery life is not upto the mark i feel xr that i used before this had a good battery maybe i am wrong  face id has got no significant improvement at all again i think xr had a better face detection  camera i could sense something has been done  coming to interface and product performance it is flawless smooth faster,4,0.28295454545454546,1,127
65,  the product is goodwe exchanged our  s for this productthe mail sent by amazon regarding the exchange process should have been clearer and crisptoo complicated a processemail should have clearly mentioned the steps apart from the standard   stepsdownload amazon app on the product to be exchangedbut its not easy takes long and is not a simple one post downloadingbetter to clarify everything in the order summary clear and bold about the   step verification  to make the customer and the delivery executive not lose time,4,-0.02916666666666668,0,84
66,  my camera does not work,1,0.0,1,5
67,  this is quality of iphone    i believe my product was defeated but dnt buy from this seller,1,0.0,1,17
68,  product was switched off permanently after a week,1,0.0,1,8
69,  great display ram management is super camera is best in comparison to any other android phone battery will last   day but it can be better if you are planning to use for daily work and office mail then it will perfectly work for one day very fast face recognition and blazing fast processor,5,0.39683333333333337,1,53
70,  thank you apple inc and amazon it is worth for each penny kudos to you guys and yes it is assembled in india ❤️,5,0.3,1,24
71,  received defective product from amazon endand refused to replace  apple says go back to amazontherefore i advised to purchase it from apple store amazon customer care already wasted lots of time and solutions nil batte sannaata,1,-0.1,0,36
72,  phone was working dinw untill one day when it all of a sudden went black screen went black and now its not turning on i tried all the methods to boot it up battery status was   percent when it turned off now i am worried no physical damage was there but dont why it stopped functioning and here in himachal pradesh no service centre is here have to travle  km to get this fixed it is very sad after spending a huge amount this phone stopped working in just   months,4,-0.06904761904761904,0,90
73,  very good easy user interface good screen screen notch design is outdated no finger scanner for unlocking battery life needs improvement only   hz screen refresh rate no charger inside box carrier aggregation  g not visibleprice is on higher side bluetooth transfer is major issue,4,0.2794047619047618,1,44
74,  i have been an android user and shifting to apple was a real uphill task in my thoughts proved quite the opposite its a smooth experience battery can be better considering how much better other phones r getting rest all seems fine no issues so far in love with the camera super light weightyou do need a back cover and amazing,5,0.2942307692307693,1,61
75,  this phone needs too much optimisation aim assist not working in pubg in my phone,1,0.2,1,15
76,  my first iphone switching from one plus  already many reviews are and nothing much to add but con regarding call list is thing to address from applewhatsaap call team call and also normal call are showing all together in same call list,5,0.21999999999999997,1,42
77,  excellent performance all apps open up almost instantly battery life is great gets around   hrs screen time with   remaining last checked initially while restoring from icloud it would consume a lot of battery give it a day or two it would settle down,5,0.23492063492063492,1,43
78,  earpiece damaged with in   months no one giving proper service customer service too bad in india,1,-0.3499999999999999,0,16
79,  excellent phone i have been using iphone since iphone  s was launchediphone   is exceptionally good phone with a lovely screen colours are vivid and elaboratei am pretty heavy user of my phone on a daily basis and the battery really lasts for the whole day comfortably actually i do not have to worry regarding my battery in spite of heavy usagecamera is very good and takes perfect picture especially the portrait mode which is actually superbbuttery smooth operating system and ios   is superb i actually do not feel the difference with   hz refresh rate the phone does not really lag at all the dual sim capability is also lovely and helpful,5,0.31425000000000003,1,111
80,  phone is getting extremely hot while charging and also while using samsung note has better camera than iphone wastage of money nothing else strongly wouldnt recommend,1,0.39444444444444443,1,26
81,  best smartphone in the market camera is great can do astrophotography a bityou can throw anything at that a  processor  it will work like a charmram management is freaky if you close a app  open it after   hrs it will take you exactly where you had left offbattery lasts for over a day  screen on time of   hrs with proper settingspeople laugh at apple for not providing charger but any other charger works same like apple ones no need to buy a separate apple charger use android ones above ,5,0.22249999999999998,1,89
82,  comparing iphone with android devices it really feels like iphone are really smart with smart typing and ui features not only the phone is fast but also offers unique features like intelligent charging health connectivitysleep settings which one will be surprised to use camera picture quality is definitely the best if not the best for iphonemy suggestion truly intelligent incredibly  fast phone one should buy ,4,0.3716836734693878,1,65
83,  i always thought iphone is a waste of money i thought its just a phone why to spend so much for a thing that will stay in ur pocket more than half the day now i know why they cost so much and i do not regret spending this amount on a phone battery is very good given only   or   odd mah battery but still as compared to android could have beena bit better but over all a gaming beast,5,0.1974074074074074,1,80
84,  this is the first ios device for me after using an android until now no doubt the transition was smooth the camera is superb it has flagship level camera i need to charge it once for full day usagenot an heavy user while using internet oled display is superb being an android user since start i was not able to restore my whatsapp data in ios which was one of the drawbacks overall it is good phone but overpriced you wont get charger and earphones there is a challenge to try new apps as most of the apps in ios are paid  with just   days trial period there are other brands in market who provides similar features at very less cost but at the end its ios vs android,5,0.2531926406926407,1,129
85,  iphone is iphone switched from honor flagship phone and it was smooth transition delivery by amazon is just wow seal proof packaging and one day delivery ordered same phone from flipkart and they delivered me shampoo😩ios is very smoothbattery life is good face unlock is breezing fast overall must buy if you are looking for secure sturdy and safe phone beyond ,5,0.2777777777777778,1,61
86,  purchasing phones from amazon is trustworthy 👍🏼👍🏼 thank you amazon for prompt delivery,5,0.0,1,13
87,  have used for more than a week display is good and classy camera is very good even in low light product is light weight as compared to previous versions xr battery lasts for two days with very low usage and charging takes around  h mins from   to   with  w apple chargeroverall its a good mobile with less battery backup that might have been boosted ,5,0.30696969696969695,1,64
88,  having transitioned from the world of android to ios it seems like a truckload of difference in these   worlds the simplicity refinement and ease of use on this ecosystem is just too classic the battery life the haptics the camera and the overall fluidity of ios makes an impressive impact in terms usage for me using an iphone for the first time reaffirms me of one thing i dont think i will want to switch back to the android ecosystem ever again,5,0.2833333333333333,1,82
